,source,total_words,superlative_adj_ratio,comparative_adj_ratio,adj_ratio,superlative_adv_ratio,comparative_adv_ratio,adv_ratio,colorful_ratio,descriptive_ratio
0,Fox,325,0.0,0.003076923076923077,0.04923076923076923,0.0,0.0,0.018461538461538463,0.0,0.07076923076923076
1,Fox,640,0.0015625,0.0,0.0703125,0.0,0.0015625,0.0296875,0.0015625,0.103125
2,Fox,778,0.0012853470437017994,0.002570694087403599,0.061696658097686374,0.0,0.0012853470437017994,0.033419023136246784,0.0012853470437017994,0.10025706940874037
3,Fox,953,0.002098635886673662,0.00944386149003148,0.09653725078698845,0.002098635886673662,0.001049317943336831,0.04512067156348373,0.004197271773347324,0.15634837355718784
4,Fox,678,0.0014749262536873156,0.007374631268436578,0.058997050147492625,0.0,0.0,0.025073746312684365,0.0014749262536873156,0.09292035398230089
5,Fox,644,0.0,0.006211180124223602,0.07298136645962733,0.0,0.0,0.043478260869565216,0.0,0.12267080745341614
6,Fox,640,0.003125,0.0109375,0.0484375,0.0,0.003125,0.025,0.003125,0.090625
7,Fox,489,0.0,0.0081799591002045,0.05725971370143149,0.0,0.0,0.034764826175869123,0.0,0.10020449897750511
8,Fox,371,0.0,0.0,0.07008086253369272,0.005390835579514825,0.0,0.026954177897574125,0.005390835579514825,0.10242587601078167
9,Fox,460,0.002173913043478261,0.0,0.058695652173913045,0.0,0.0,0.017391304347826087,0.002173913043478261,0.0782608695652174
10,Fox,1500,0.0013333333333333333,0.0006666666666666666,0.07066666666666667,0.0006666666666666666,0.0013333333333333333,0.03866666666666667,0.002,0.11333333333333333
11,Fox,552,0.0018115942028985507,0.0036231884057971015,0.06340579710144928,0.0,0.0,0.03804347826086957,0.0018115942028985507,0.1068840579710145
12,Fox,699,0.0,0.005722460658082976,0.06723891273247497,0.0,0.005722460658082976,0.05436337625178827,0.0,0.13304721030042918
13,Fox,477,0.0041928721174004195,0.012578616352201259,0.05241090146750524,0.0,0.0020964360587002098,0.018867924528301886,0.0041928721174004195,0.09014675052410902
14,Fox,1108,0.0009025270758122744,0.0018050541516245488,0.06859205776173286,0.0,0.0009025270758122744,0.026173285198555957,0.0009025270758122744,0.0983754512635379
15,Fox,433,0.0,0.004618937644341801,0.050808314087759814,0.0,0.0023094688221709007,0.03002309468822171,0.0,0.08775981524249422
16,Fox,316,0.006329113924050633,0.006329113924050633,0.06962025316455696,0.0,0.0,0.03164556962025317,0.006329113924050633,0.11392405063291139
17,Fox,261,0.0,0.0,0.09578544061302682,0.007662835249042145,0.0,0.0421455938697318,0.007662835249042145,0.14559386973180077
18,Fox,780,0.0,0.0,0.06794871794871794,0.0,0.001282051282051282,0.029487179487179487,0.0,0.09871794871794871
19,Fox,1001,0.000999000999000999,0.000999000999000999,0.06593406593406594,0.0,0.0,0.026973026973026972,0.000999000999000999,0.09490509490509491
20,Fox,557,0.0017953321364452424,0.0,0.05385996409335727,0.0,0.003590664272890485,0.03052064631956912,0.0017953321364452424,0.08976660682226212
21,Fox,190,0.0,0.005263157894736842,0.04736842105263158,0.0,0.0,0.03684210526315789,0.0,0.08947368421052632
22,Fox,451,0.0,0.0,0.06651884700665188,0.0,0.0,0.03325942350332594,0.0,0.09977827050997783
23,Fox,891,0.001122334455667789,0.004489337822671156,0.06285072951739619,0.0,0.001122334455667789,0.03254769921436588,0.001122334455667789,0.10213243546576879
24,Fox,5081,0.0029521747687463098,0.005313914583743358,0.07242668765990946,0.001574493209998032,0.000787246604999016,0.04349537492619563,0.0045266679787443415,0.12654989175359183
25,Fox,1385,0.0021660649819494585,0.0021660649819494585,0.05198555956678701,0.0,0.0007220216606498195,0.03393501805054152,0.0021660649819494585,0.09097472924187726
26,Fox,397,0.0,0.005037783375314861,0.04785894206549118,0.0,0.005037783375314861,0.04785894206549118,0.0,0.10579345088161209
27,Fox,656,0.0,0.0,0.0899390243902439,0.0,0.0,0.03201219512195122,0.0,0.12195121951219512
28,Fox,440,0.004545454545454545,0.00909090909090909,0.06136363636363636,0.0,0.0,0.04772727272727273,0.004545454545454545,0.12272727272727273
29,Fox,873,0.002290950744558992,0.001145475372279496,0.044673539518900345,0.0,0.0,0.044673539518900345,0.002290950744558992,0.09278350515463918
30,Fox,738,0.0,0.0013550135501355014,0.06775067750677506,0.0013550135501355014,0.0027100271002710027,0.04607046070460705,0.0013550135501355014,0.11924119241192412
31,Fox,768,0.0,0.0013020833333333333,0.06770833333333333,0.0,0.0013020833333333333,0.026041666666666668,0.0,0.09635416666666667
32,Fox,826,0.0,0.002421307506053269,0.06779661016949153,0.0012106537530266344,0.002421307506053269,0.026634382566585957,0.0012106537530266344,0.10048426150121065
33,Fox,309,0.003236245954692557,0.003236245954692557,0.032362459546925564,0.0,0.003236245954692557,0.032362459546925564,0.003236245954692557,0.0744336569579288
34,Fox,780,0.005128205128205128,0.0,0.05,0.0,0.001282051282051282,0.03717948717948718,0.005128205128205128,0.09358974358974359
35,Fox,1084,0.0036900369003690036,0.0027675276752767526,0.08579335793357934,0.0,0.0036900369003690036,0.033210332103321034,0.0036900369003690036,0.12915129151291513
36,Fox,1455,0.0013745704467353953,0.004123711340206186,0.06941580756013746,0.0006872852233676976,0.0,0.03848797250859107,0.002061855670103093,0.1140893470790378
37,Fox,455,0.006593406593406593,0.006593406593406593,0.08791208791208792,0.0,0.002197802197802198,0.03736263736263736,0.006593406593406593,0.14065934065934066
38,Fox,1779,0.0,0.0011242270938729624,0.06351883080382237,0.0,0.0016863406408094434,0.03541315345699832,0.0,0.1017425519955031
39,Fox,628,0.0015923566878980893,0.0031847133757961785,0.06687898089171974,0.0,0.0,0.028662420382165606,0.0015923566878980893,0.10031847133757962
40,Fox,672,0.001488095238095238,0.001488095238095238,0.05357142857142857,0.001488095238095238,0.002976190476190476,0.03869047619047619,0.002976190476190476,0.09970238095238096
41,Fox,905,0.0,0.0022099447513812156,0.07734806629834254,0.0,0.0,0.030939226519337018,0.0,0.11049723756906077
42,Fox,487,0.0,0.004106776180698152,0.07186858316221766,0.0,0.002053388090349076,0.028747433264887063,0.0,0.10677618069815195
43,Fox,524,0.0019083969465648854,0.0,0.06870229007633588,0.0,0.0,0.02862595419847328,0.0019083969465648854,0.09923664122137404
44,Fox,683,0.0029282576866764276,0.0029282576866764276,0.06442166910688141,0.0,0.0014641288433382138,0.03074670571010249,0.0029282576866764276,0.10248901903367497
45,Fox,368,0.002717391304347826,0.005434782608695652,0.08423913043478261,0.0,0.005434782608695652,0.043478260869565216,0.002717391304347826,0.14130434782608695
46,Fox,525,0.0,0.0,0.045714285714285714,0.0,0.0019047619047619048,0.04380952380952381,0.0,0.09142857142857143
47,Fox,579,0.0017271157167530224,0.0017271157167530224,0.05181347150259067,0.0,0.0,0.06044905008635579,0.0017271157167530224,0.1157167530224525
